ID,Título,Resumen,Descripción,Donde insertar,Script,Etiquetas,Categorías,Relacionados,Fuente
exe_0011,eXeViewer,Visor para abrir paquetes de contenido de eXeLearning directamente en el navegador. Puede servir como alternativa para publicar o consultar materiales ELPX y ZIP.,"### eXeViewer

Visor para abrir paquetes de contenido de eXeLearning directamente en el navegador.

**Para qué sirve**

- Visualizar materiales de eXeLearning sin editar el proyecto.
- Abrir paquetes ELPX o ZIP preparados para su consulta.
- Servir como opción de publicación cuando se dispone de un entorno preparado para ello.

Está pensado para mostrar contenidos, no para modificarlos.

**URL:** https://exeviewer.intef.es/",,,visor; ELPX; ZIP; navegador; Docker,Publicación y visualización; Herramientas externas,exe_0008; exe_0010; exe_0024,Docker Hub: https://hub.docker.com/r/exelearning/exeviewer
exe_0012,Código QR de la página actual,Genera un código QR con la dirección de la página actual. Debe insertarse donde se quiera mostrar el QR y necesita conexión a Internet.,"### Código QR de la página actual

Genera un código QR con la dirección de la página donde se inserta el recurso.

**Para qué sirve**

- Facilitar que el alumnado abra la página desde un móvil o una tableta.
- Compartir rápidamente una página concreta del material.
- Añadir un acceso visual mediante QR dentro del propio recurso.

**Cómo se usa**

Inserta el fragmento en el punto exacto donde quieras mostrar el QR, dentro del **HTML del iDevice**.

**Advertencias**

- Requiere conexión a Internet.
- La dirección de la página se envía a QuickChart para generar la imagen.
- El recurso muestra el QR, pero no añade un texto explicativo visible.",HTML del iDevice,"<!-- Código QR de la página actual -->
<!-- https://hackexe4.github.io/#script=exe_0012 -->
<div data-exe-fragment=""exe-script-qr-pagina"" style=""box-sizing:border-box; margin:1rem 0; text-align:center;"">
  <div data-role=""qr""></div>
</div>

<script>
(function () {
  function generarQR(root) {
    var contenedorQR = root.querySelector('[data-role=""qr""]');
    if (!contenedorQR) return;

    var apiUrl = 'https://quickchart.io/qr?text=' +
      encodeURIComponent(window.location.href) +
      '&size=200x200';

    var imagenQR = document.createElement('img');
    imagenQR.src = apiUrl;
    imagenQR.alt = 'QR de la página actual';
    imagenQR.width = 200;
    imagenQR.height = 200;
    imagenQR.style.maxWidth = '100%';
    imagenQR.style.height = 'auto';

    contenedorQR.innerHTML = '';
    contenedorQR.appendChild(imagenQR);
  }

  function iniciar() {
    var roots = document.querySelectorAll('[data-exe-fragment=""exe-script-qr-pagina""]');
    Array.prototype.forEach.call(roots, generarQR);
  }

  if (document.readyState === 'loading') {
    document.addEventListener('DOMContentLoaded', iniciar);
  } else {
    iniciar();
  }
})();
</script>",QR; código QR; URL; enlace; página actual; QuickChart,Navegación,,Elaboración propia a partir del código de HACKeXe: https://hackexe.tiddlyhost.com
exe_0013,"Protección de copia, selección e impresión","Dificulta algunas acciones de copia, selección e impresión. Solo actúa como disuasión básica, no protege realmente el contenido y puede afectar a la accesibilidad.","### Protección de copia, selección e impresión

Este recurso dificulta algunas acciones habituales de copia o reutilización del contenido de una página o proyecto.

**Qué hace**

- Bloquea el menú del clic derecho.
- Bloquea atajos de teclado habituales, como copiar, pegar, seleccionar todo, imprimir o guardar.
- Evita la selección de texto.
- Evita el arrastre de imágenes.
- Muestra un aviso cuando se intenta imprimir.

**Cómo se usa**

- Colócalo en el **pie del proyecto** para aplicarlo a todas las páginas.
- Colócalo en el **HTML del iDevice** si solo quieres aplicarlo a una página concreta.

**Advertencias importantes**

- No protege realmente el contenido.
- No impide capturas de pantalla ni otras formas de copia.
- Puede afectar a la accesibilidad, especialmente a personas que usan teclado, lectores de pantalla o herramientas de apoyo.
- Debe entenderse como una disuasión suave, no como una medida de seguridad.",Pie del proyecto; HTML del iDevice,"<!-- Protección de copia, selección e impresión -->
<!-- https://hackexe4.github.io/#script=exe_0013 -->
<script>
(function () {
  document.addEventListener('contextmenu', function (e) {
    e.preventDefault();
  });

  document.addEventListener('keydown', function (e) {
    var key = String(e.key || '').toLowerCase();

    if ((e.ctrlKey || e.metaKey) && ['a', 'c', 'p', 's', 'u', 'v'].indexOf(key) !== -1) {
      e.preventDefault();

      if (key === 'p') {
        alert('La impresión está deshabilitada en esta página.');
      }
    }
  });

  document.addEventListener('selectstart', function (e) {
    e.preventDefault();
  });

  document.addEventListener('dragstart', function (e) {
    e.preventDefault();
  });

  window.addEventListener('beforeprint', function () {
    alert('La impresión está deshabilitada en esta página.');
  });
})();
</script>",copia; protección; selección; impresión; clic derecho; teclado; contenido,Protección de contenido,,Elaboración propia a partir del código de HACKeXe: https://hackexe.tiddlyhost.com
exe_0014,Índice de iDevices de una página,Crea un índice con los iDevices o bloques de la página y enlaza cada entrada con su actividad. Pensado para eXeLearning 4.,"### Índice de iDevices de una página

Genera un índice con los iDevices o bloques de la página actual. Cada entrada enlaza con la actividad correspondiente.

**Para qué sirve**

- Facilita la navegación dentro de páginas largas.
- Ayuda al alumnado a localizar rápidamente cada actividad.
- Ofrece una vista ordenada de los bloques de trabajo de una página.

**Cómo se usa**

Inserta el fragmento en el punto donde quieras mostrar el índice, dentro del **HTML del iDevice**.

**Compatibilidad**

Está pensado para **eXeLearning 4**. No está diseñado para versiones antiguas de eXeLearning.",HTML del iDevice,"<!-- Índice de iDevices de una página -->
<!-- https://hackexe4.github.io/#script=exe_0014 -->
<div data-exe-fragment=""exe-script-indice-idevices"" style=""box-sizing:border-box; max-width:48rem; margin:1rem 0; padding:1rem; border:1px solid #d7e3f4; border-radius:0.75rem; background:#f8fbff; color:#1f2937; font-family:Arial, sans-serif;"">
  <p data-role=""title"" style=""margin:0 0 0.75rem 0; font-size:1.1rem; font-weight:700;"">Índice de actividades</p>
  <p data-role=""message"" style=""margin:0; line-height:1.5;"">Generando índice de actividades...</p>
  <nav data-role=""nav"" aria-label=""Índice de actividades de esta página"" hidden style=""margin-top:0.75rem;""></nav>
  <template data-role=""code"">
(function () {
  var script = document.currentScript;
  var root = script
    ? script.closest('[data-exe-fragment=""exe-script-indice-idevices""]')
    : document.querySelector('[data-exe-fragment=""exe-script-indice-idevices""][data-exe-l=""1""]');
  if (!root || root.getAttribute('data-exe-fragment') !== 'exe-script-indice-idevices') return;
  if (root._exeR) return;
  root._exeR = true;

  function setMessage(text) {
    var message = root.querySelector('[data-role=""message""]');
    if (message) message.textContent = text;
  }

  function styleList(list) {
    list.style.boxSizing = 'border-box';
    list.style.margin = '0';
    list.style.padding = '0 0 0 1.25rem';
    list.style.lineHeight = '1.5';
  }

  function styleItem(item) {
    item.style.margin = '0.35rem 0';
  }

  function styleLink(link) {
    link.style.color = '#145ea8';
    link.style.textDecoration = 'underline';
    link.style.textUnderlineOffset = '0.15em';
  }

  function buildIndex() {
    var scope = root.closest('main') || document;
    var boxes = scope.querySelectorAll('article.box');
    var nav = root.querySelector('[data-role=""nav""]');
    var list = document.createElement('ul');
    var count = 0;

    if (!nav) return;
    styleList(list);

    Array.prototype.forEach.call(boxes, function (box, index) {
      if (box.contains(root)) return;

      var title = box.querySelector('.box-title');
      var titleText = title ? title.textContent.replace(/\s+/g, ' ').trim() : '';
      if (!titleText) return;

      var id = box.id || 'exe-script-idevice-' + index;
      box.id = id;

      var item = document.createElement('li');
      var link = document.createElement('a');

      link.href = '#' + id;
      link.textContent = titleText;
      styleItem(item);
      styleLink(link);

      item.appendChild(link);
      list.appendChild(item);
      count += 1;
    });

    while (nav.firstChild) nav.removeChild(nav.firstChild);

    if (!count) {
      nav.hidden = true;
      setMessage('No se han encontrado actividades en esta página.');
      return;
    }

    nav.appendChild(list);
    nav.hidden = false;
    setMessage('');
  }

  if (document.readyState === 'loading') {
    document.addEventListener('DOMContentLoaded', buildIndex, { once: true });
  } else {
    buildIndex();
  }
})();
  </template>
  <img alt="""" src=""data:image/gif;base64,R0lGODlhAQABAIAAAAAAAP///ywAAAAAAQABAAACAUwAOw=="" onload=""(function(img){var root=img.closest('[data-exe-fragment=&quot;exe-script-indice-idevices&quot;]');if(!root||root._exeB)return;root._exeB=true;var code=root.querySelector('template[data-role=&quot;code&quot;]');if(!code)return;root.setAttribute('data-exe-l','1');var script=document.createElement('script');script.text=code.content.textContent;root.appendChild(script);root.removeAttribute('data-exe-l');})(this)"" onerror=""this.onload&&this.onload()"" style=""position:absolute; width:1px; height:1px; opacity:0; pointer-events:none;"" />
</div>",índice; iDevices; actividades; bloques; navegación; eXeLearning 4,Índices de contenido,exe_0001; exe_0002; exe_0005,Elaboración propia a partir del código de HACKeXe: https://hackexe.tiddlyhost.com
exe_0015,Espaciado interlineal,Ajusta el interlineado de los textos para mejorar la lectura. Puede aplicarse a todo el contenido o solo a un párrafo concreto.,"### Espaciado interlineal

Permite cambiar la separación entre las líneas de texto en eXeLearning 4. Es útil cuando un texto queda demasiado apretado y se quiere mejorar la lectura.

**Uso recomendado: aplicarlo a todo el contenido**

1. Abre tu proyecto en eXeLearning.
2. Ve al lugar donde puedas añadir contenido al **HEAD** del proyecto.
3. Pega el código indicado.
4. Guarda los cambios.
5. Comprueba el resultado en la vista previa o en la exportación.

**Cómo cambiar la separación**

En el código puedes cambiar el valor `1.5`:

- `1.3`: separación ligera.
- `1.5`: separación cómoda para la mayoría de textos.
- `2`: separación doble.

**Aplicarlo solo a un párrafo**

Si solo quieres modificar un párrafo concreto, abre el editor HTML del iDevice y añade el interlineado en ese párrafo.

**Consejo**

Empieza con `1.5`. Si el texto aún se ve demasiado junto, prueba con `1.7` o `2`.",HEAD; HTML del iDevice,"<!-- Espaciado interlineal -->
<!-- https://hackexe4.github.io/#script=exe_0015 -->
<style>
.iDevice_content {
  line-height: 1.5;
}
</style>",interlineado; CSS; legibilidad; texto; estilo,Personalización visual,exe_0004; exe_0006; exe_0025,Elaboración propia a partir de la consulta sobre compatibilidad con eXeLearning 4.
exe_0016,eXeLearning,"Página oficial de eXeLearning. Presenta el proyecto, sus características principales y el acceso a recursos relacionados con la creación de materiales educativos.","### eXeLearning

Página oficial de eXeLearning, herramienta libre para crear recursos educativos digitales.

**Para qué sirve**

- Conocer el proyecto eXeLearning.
- Acceder a información general sobre la herramienta.
- Localizar descargas, documentación y recursos asociados.

Es el enlace de referencia para docentes que quieran empezar a trabajar con eXeLearning o consultar información general del proyecto.

**URL:** https://exelearning.net/",,,eXeLearning; autoría; REA; educación,eXeLearning oficial,exe_0017; exe_0018; exe_0019; exe_0020; exe_0021; exe_0024,[eXeLearning](https://exelearning.net/)
exe_0017,eXeLearning online,"Versión online de eXeLearning para crear y editar recursos educativos desde el navegador, sin necesidad de instalar el programa.","### eXeLearning online

Versión online de eXeLearning para trabajar desde el navegador sin instalar la aplicación en el ordenador.

**Para qué sirve**

- Crear o editar recursos educativos desde el navegador.
- Probar eXeLearning sin instalación previa.
- Trabajar de forma rápida cuando se usa un equipo compartido o temporal.

Conviene guardar el trabajo con frecuencia y comprobar las opciones de exportación disponibles.

**URL:** https://app.exelearning.net/",,,eXeLearning; online; editor; recursos,eXeLearning oficial; Herramientas externas,exe_0016; exe_0018,[eXeLearning online](https://online.exelearning.net/)
exe_0018,eXeLearning colaborativo demo,"Demo de la versión colaborativa de eXeLearning. Permite entrar como invitado y trabajar entre varias personas, pero los datos se pierden al cerrar si no se guardan.","### eXeLearning colaborativo demo

Demo de la versión colaborativa de eXeLearning. Permite acceder como invitado y probar el trabajo compartido entre varias personas desde el navegador.

**Para qué sirve**

- Probar la edición colaborativa de eXeLearning.
- Trabajar temporalmente entre varias personas.
- Experimentar con la versión colaborativa sin crear una instalación propia.

**Advertencia**

Los datos se pierden al cerrar la sesión si no se guardan. Es útil para pruebas o trabajos temporales, siempre que se descargue o guarde el material antes de cerrar.

**URL:** https://cloud-demo.exelearning.net/",,,eXeLearning; colaborativo; online; demo,eXeLearning oficial; Herramientas externas,exe_0016; exe_0020; exe_0023,[eXeLearning colaborativo demo](https://cloud-demo.exelearning.net/)
exe_0019,Manual de eXeLearning,"Manual oficial de eXeLearning. Explica el uso del programa, la creación de recursos educativos y las principales opciones disponibles para el profesorado.","### Manual de eXeLearning

Manual de referencia para aprender a utilizar eXeLearning y resolver dudas sobre sus herramientas principales.

**Para qué sirve**

- Consultar el uso de eXeLearning paso a paso.
- Resolver dudas sobre iDevices, edición, estructura y exportación.
- Servir como apoyo para docentes que empiezan o necesitan revisar alguna función.

**URL:** https://descargas.intef.es/cedec/exe_learning/Manuales/manual_exe/",,,manual; ayuda; eXeLearning; documentación,Documentación y ayuda; eXeLearning oficial,exe_0016; exe_0020; exe_0024,[Manual de eXeLearning](https://descargas.intef.es/cedec/exe_learning/Manuales/manual_exe/)
exe_0020,Descarga de eXeLearning,Página de descarga de eXeLearning para instalar el programa en distintos sistemas o acceder a las opciones disponibles desde la web oficial.,"### Descarga de eXeLearning

Página oficial para descargar eXeLearning y consultar las opciones disponibles de instalación o acceso.

**Para qué sirve**

- Descargar eXeLearning para el sistema operativo correspondiente.
- Consultar las versiones disponibles.
- Acceder desde un punto oficial y actualizado.

Es el enlace recomendado cuando un docente necesita instalar la herramienta en su equipo.

**URL:** https://exelearning.net/descargas/",,,descarga; instalación; eXeLearning; versiones,eXeLearning oficial; Documentación y ayuda,exe_0016; exe_0019; exe_0024,[Descarga de eXeLearning](https://exelearning.net/descargas/)
exe_0021,Grupo de Telegram eXeLearning,"Grupo de Telegram sobre eXeLearning. Puede servir para plantear dudas, compartir experiencias y seguir conversaciones de la comunidad de usuarios.","### Grupo de Telegram eXeLearning

Grupo de Telegram dedicado a eXeLearning y a su uso educativo.

**Para qué sirve**

- Plantear dudas prácticas sobre eXeLearning.
- Compartir experiencias y recursos con otros usuarios.
- Seguir conversaciones de la comunidad docente interesada en la herramienta.

Puede ser útil como apoyo informal para profesorado que trabaja con eXeLearning.

**URL:** https://t.me/eXeLearning",,,Telegram; comunidad; ayuda; eXeLearning,Comunidad y soporte,exe_0016; exe_0023,[Grupo de Telegram eXeLearning](https://t.me/eXeLearning)
exe_0022,Documentación para crear estilos en eXeLearning,Documentación técnica para crear estilos de eXeLearning. Sirve como referencia para personalizar la apariencia de los proyectos y complementa el uso de EdEX.,"### Documentación para crear estilos en eXeLearning

Documentación del proyecto eXeLearning sobre la creación de estilos propios.

**Para qué sirve**

- Conocer la estructura básica de los estilos de eXeLearning.
- Preparar o modificar estilos personalizados.
- Entender mejor qué se puede adaptar antes de trabajar con un editor como EdEX.

Es una referencia útil para quienes quieren ir más allá de los cambios visuales sencillos y comprender cómo se organizan los estilos.

**URL:** https://exelearning.github.io/exelearning/development/styles/",,,estilos; documentación; diseño; eXeLearning,Documentación y ayuda; Personalización visual,exe_0006,[Documentación para crear estilos en eXeLearning](https://exelearning.github.io/exelearning/development/styles/)
exe_0023,Asistente de IA Karla,"Asistente de IA sobre eXeLearning. Usa conversaciones del grupo de Telegram e información técnica para ayudar con el uso, instalación y problemas del programa.","### Asistente de IA Karla

Asistente de IA orientado a resolver dudas sobre eXeLearning.

**Para qué sirve**

- Ayudar en el uso cotidiano de eXeLearning.
- Resolver dudas de instalación y configuración.
- Orientar ante problemas técnicos o errores del programa.
- Consultar información procedente de conversaciones del grupo de Telegram y documentación técnica relacionada.

**URL:** https://ja.cat/karla",,,IA; ayuda; eXeLearning; Telegram,Documentación y ayuda; Comunidad y soporte,exe_0021; exe_0019,[Asistente de IA Karla](https://ja.cat/karla)
exe_0024,Subir una web de eXeLearning a GitHub,"Presentación que explica cómo publicar una web exportada desde eXeLearning en GitHub usando GitHub Desktop, el archivo `.nojekyll` y GitHub Pages.","### Subir una web de eXeLearning a GitHub

Presentación paso a paso para publicar una web exportada desde eXeLearning v3 o superior en GitHub sin usar la consola.

**Para qué sirve**

- Explica por qué la subida directa desde la web de GitHub puede fallar con proyectos grandes.
- Muestra cómo crear un repositorio vacío y clonarlo con GitHub Desktop.
- Indica cómo añadir los archivos exportados desde eXeLearning.
- Recuerda crear el archivo `.nojekyll` para evitar problemas de formato.
- Explica cómo activar GitHub Pages y localizar la URL publicada.

**URL publicada:** https://docs.google.com/presentation/d/e/2PACX-1vQVI95oJ4BI8cnzn8CFTLHv0j-YwVwBAAe1XvolZNrlmMhPyq4GvXVYnoCndXTbdVILms74pKmDObYs/pub?start=false&loop=false&delayms=3000",,,eXeLearning; GitHub; GitHub Pages; publicación; guía,Publicación y visualización; Documentación y ayuda,exe_0008; exe_0016; exe_0019; exe_0020; exe_0011,Elaboración propia.
exe_0025,Cambiar el favicon del proyecto,Sustituye el favicon de eXeLearning por un icono propio guardado en content/resources o en una subcarpeta. Se puede indicar el nombre del archivo y la carpeta.,"### Cambiar el favicon del proyecto

Permite sustituir el icono `favicon.ico` que aparece en la pestaña del navegador por otro archivo incluido en los recursos del proyecto.

**Para qué sirve**

- Personalizar la identidad visual del material.
- Usar un icono propio en lugar del favicon por defecto de eXeLearning.
- Guardar el icono directamente en `content/resources/` o en una subcarpeta del gestor de archivos.

**Cómo se usa**

1. Añade el archivo del icono a los recursos del proyecto.
2. Cambia en el código el valor de `iconFile` por el nombre del archivo que quieras usar.
3. Si el icono está dentro de una carpeta, indica esa carpeta en `iconFolder`.
4. Coloca el fragmento en el **pie del proyecto** para aplicarlo a todo el material.

**Ajustes principales**

```js
var iconFolder = """";
var iconFile = ""favicon.ico"";
```

**Ejemplos**

```js
// Icono en la carpeta principal de recursos
var iconFolder = """";
var iconFile = ""favicon.ico"";

// Icono dentro de una carpeta
var iconFolder = ""imagenes"";
var iconFile = ""logo.svg"";

// Icono dentro de una subcarpeta
var iconFolder = ""imagenes/iconos"";
var iconFile = ""logo.png"";
```

**Formatos previstos**

El código reconoce automáticamente archivos `.ico`, `.png` y `.svg` para asignar el tipo adecuado.

El archivo debe quedar disponible en `content/resources/` o en una subcarpeta de esa ruta tras la exportación.",Pie del proyecto,"<!-- Cambiar el favicon del proyecto -->
<!-- https://hackexe4.github.io/#script=exe_0025 -->
<script>
(function () {
  var iconFolder = """"; // Carpeta dentro de content/resources. Ejemplos: """", ""imagenes"", ""imagenes/iconos""
  var iconFile = ""favicon.ico""; // Nombre del archivo. Ejemplos: favicon.ico, logo.svg, icono.png

  function cleanPath(value) {
    return String(value || """")
      .replace(/^\/+|\/+$/g, """")
      .replace(/\/+/g, ""/"");
  }

  var oldIcon = document.querySelector(
    'link[rel=""icon""][href$=""libs/favicon.ico""], ' +
    'link[rel=""shortcut icon""][href$=""libs/favicon.ico""], ' +
    'link[rel=""icon""][href$=""favicon.ico""], ' +
    'link[rel=""shortcut icon""][href$=""favicon.ico""]'
  );

  var baseUrl = oldIcon
    ? oldIcon.href.replace(/(?:libs\/)?favicon\.ico(?:\?.*)?$/, """")
    : new URL(""."", location.href).href;

  var folder = cleanPath(iconFolder);
  var file = cleanPath(iconFile);
  var resourcePath = ""content/resources/"" + (folder ? folder + ""/"" : """") + file;

  var icon = document.createElement(""link"");
  icon.rel = ""icon"";
  icon.href = baseUrl + resourcePath;

  if (/\.svg$/i.test(file)) icon.type = ""image/svg+xml"";
  else if (/\.png$/i.test(file)) icon.type = ""image/png"";
  else if (/\.ico$/i.test(file)) icon.type = ""image/x-icon"";

  document.head.appendChild(icon);
}());
</script>",favicon; icono; personalización; pestaña; recursos,Personalización visual,exe_0004; exe_0015; exe_0006,
